textbox19,textbox34,ID,textbox30,textbox10,Title,Location,Status,DateInitiated,Initiator,SAPNotificationNr
Unit: 01,[172],246705,2,HMDM - HMD MILLS,MILL C REJECTBOX INSPECTION WINDOW IS BROKEN.,03-01NM30G501 - MILL 1C REJECT BOX,Submitted,2015-01-07 11:16,Michael Mokgabudi,23027565
Unit: 01,[172],246707,2,HMDM - HMD MILLS,MILL C REJECTBOX INSPECTION DOOR SEALS IS BROKEN.,03-01NM30G501 - MILL 1C REJECT BOX,Submitted,2015-01-07 11:34,Michael Mokgabudi,23027584
Unit: 01,[172],246829,1,MBM - MBD MILLS,MILL '1C' COALGATE IS ONLY 10% OPEN. GC CONSTRUCTION TO CHECK SAME,03-01NM30 - MILL 1C,Submitted,2015-01-09 18:13,Solly Mathebula,23030528
Unit: 01,[172],246981,1,CIA - C&I UNITS 1-3 SECTION,"CALL OUT - MILL ""C"" SGC START-UP PROGRAM IS FAULTY",03-01NM30 - MILL 1C,Submitted,2015-01-12 05:33,Chris Nel,23031703
Unit: 01,[172],246984,1,CIA - C&I UNITS 1-3 SECTION,CALL OUT - MILL 1DSGC START-UP PROGRAM IS FAULTY,03-01NM40 - MILL 1D,Submitted,2015-01-12 06:26,Chris Nel,23031715
Unit: 01,[172],246708,2,HMDM - HMD MILLS,MILL D REJECTBOX INSPECTION DOOR RUBBER SEAL BROKEN.,03-01NM40G501 - MILL 1D REJECT BOX,Submitted,2015-01-07 11:38,Michael Mokgabudi,23027581
Unit: 01,[172],247049,2,HMDM - HMD MILLS,MILL  D  SEAL  AIR   DUCT  COMPENSATOR  LEAKING  BADLY  -  DAMAGED BY  SCAFFOLDING  STRUCTURE ,03-01CB032B001 - MILL 1D SEAL AIR DAMPER 01NM40S004,Submitted,2015-01-13 00:32,MD Phala,23033020
Unit: 01,[172],247208,2,HMDM - HMD MILLS,MILL E REJECT LINE IS HOLED.,03-01NM50D102MR01 - MILL 1E REJECT LINE,Submitted,2015-01-14 21:00,Michael Mokgabudi,23036000
Unit: 01,[172],248340,1,HMDM - HMD MILLS,"MILL E LUB OIL FILTER ""A"" IS DIRTY.",03-01NM50G001 - MILL 1E LUB OIL FILTER A,Submitted,2015-01-20 23:27,Michael Mokgabudi,23042679
Unit: 01,[172],248793,2,EME - EMD UNIT 1-3,MILL '1C' PRIMARY AIR DAMPER GEARBOX IS VIBRATING. ,03-01JF02C005 - MILL 1C PA DAMPER 01NM30S001,Submitted,2015-01-26 11:36,Solly Mathebula,23048962
Unit: 01,[172],246389,2,HMDM - HMD MILLS,"MILL  E  FEEDER   BELT   MISS  ALIGN  AND  FULL  OF  COAL-TO  BE   CLEANED,ALGNED  AND  SHEARING  PI",03-01CD003B001 - MILL 1E FDR 01NM50D003,Submitted,2015-01-02 12:50,MD Phala,23022254
Unit: 01,[172],246392,1,HMDM - HMD MILLS,MILL  A  FEEDER  CLEANOUT  CONVEYOR  BELT  SHEARING  PIN  BROKEN,03-01CC005B001 - MILL 1A FDR CLEANOUT CONVYR 01NM10D005,Submitted,2015-01-02 14:03,MD Phala,23022286
Unit: 01,[172],246709,2,HMDM - HMD MILLS,MILL E REJECTBOX DOOR RUBBER SEAL IS BROKEN,03-01NM50G501 - MILL 1E REJECT BOX,Submitted,2015-01-07 11:43,Michael Mokgabudi,23027585
